5169
410	1 18	1 21	1 29	1 32	-0.037016168308349424
411	1 18	1 21	1 15	1 24	3.1243092334231157
412	1 18	1 21	1 24	1 27	-1.1677439791497564
413	1 18	1 21	1 27	1 30	-0.008289984676970664
414	1 18	1 21	1 30	1 33	-0.050443490570044894
415	1 18	1 21	1 36	1 39	-0.013022518675437317
416	1 18	1 21	1 31	1 34	-0.04862113403963564
417	1 18	1 21	1 40	1 43	-0.002421247725436432
418	1 18	1 21	1 46	1 49	0.21507009383630615
419	1 18	1 21	1 49	1 52	-0.036067665890557835
420	1 18	1 21	1 55	1 58	-0.08266100185485886
421	1 18	1 21	1 32	1 35	-0.041751401198847654
422	1 18	1 21	1 41	1 44	-0.0017608928996340517
423	1 18	1 21	1 47	1 50	0.2099827265284986
424	1 18	1 21	1 50	1 53	-0.07328916217937022
425	1 18	1 21	1 48	1 51	0.20171352250877522
426	1 18	1 21	1 54	1 57	-0.12014967278042502
427	1 18	1 21	1 1	1 62	0.11469075090701866
428	1 18	1 21	1 71	1 2	-0.06867364087847791
429	1 18	1 21	1 69	1 72	0.006588047804136094
430	1 19	1 22	1 13	1 16	-1.9362427538759994
431	1 19	1 22	1 16	1 2	2.0084377594562763
432	1 19	1 22	1 8	1 11	-0.050276745675358975
433	1 19	1 22	1 18	1 21	12.253542729418573
434	1 19	1 22	1 24	1 27	-1.9225928686175675
435	1 19	1 22	1 27	1 30	-0.00468133742512855
436	1 19	1 22	1 30	1 33	-0.02525007616906749
437	1 19	1 22	1 23	1 26	-3.384755248326562
438	1 19	1 22	1 29	1 32	-0.01889591863056092
439	1 19	1 22	1 32	1 35	-0.021089947950054515
440	1 19	1 22	1 28	1 31	-0.012936053930733736
441	1 19	1 22	1 31	1 34	-0.024473170182914172
442	1 19	1 22	1 34	1 37	-0.008521531441050511
443	1 19	1 22	1 46	1 49	0.12240709943049566
444	1 19	1 22	1 33	1 36	-0.014372634478480618
445	1 19	1 22	1 48	1 51	0.11323449391899824
446	1 19	1 22	1 51	1 54	-0.06848652151731716
447	1 19	1 22	1 47	1 50	0.11943862649676648
448	1 19	1 22	1 53	1 56	-0.08466384615462727
449	1 19	1 22	1 56	1 59	-0.015632396997435266
450	1 19	1 22	1 58	1 61	-0.00395488865018571
451	1 19	1 22	1 67	1 70	0.004114604467745834
452	1 19	1 22	1 1	1 63	0.1209601808624226
453	1 19	1 22	1 63	1 66	0.005411809109176635
454	1 20	1 23	1 10	1 13	-0.15042448911472733
455	1 20	1 23	1 16	1 19	-6.1558432289286
456	1 20	1 23	1 22	1 25	-2.2917763894782137
457	1 20	1 23	1 25	1 28	-0.002365684894305697
458	1 20	1 23	1 28	1 31	-0.006245702765149075
459	1 20	1 23	1 11	1 14	-0.18195545446448652
460	1 20	1 23	1 17	1 3	0.9214723270103858
461	1 20	1 23	1 24	1 27	-4.989251615959688
462	1 20	1 23	1 27	1 30	-0.002456672862636098
463	1 20	1 23	1 30	1 33	-0.011868320953232668
464	1 20	1 23	1 36	1 39	-0.002827501207969957
465	1 20	1 23	1 26	1 29	-0.0020446487105687814
466	1 20	1 23	1 29	1 32	-0.008921966171547875
467	1 20	1 23	1 32	1 35	-0.009732860634170264
468	1 20	1 23	1 47	1 50	0.0685434419553681
469	1 20	1 23	1 53	1 56	-0.043645445463848256
470	1 20	1 23	1 31	1 34	-0.011391733787234046
471	1 20	1 23	1 46	1 49	0.07172330399227647
472	1 20	1 23	1 49	1 52	-0.016473380523978905
473	1 20	1 23	1 55	1 58	-0.020735178828428895
474	1 20	1 23	1 48	1 51	0.06546187409566909
475	1 20	1 23	1 51	1 54	-0.03931407786639565
476	1 20	1 23	1 54	1 57	-0.03313171808486198
477	1 20	1 23	1 57	1 60	-0.003877947721901308
478	1 20	1 23	1 56	1 59	-0.00760757974482024
479	1 20	1 23	1 2	1 61	0.2475801407063723
480	1 21	1 24	1 19	1 22	1.726363231237691
481	1 21	1 24	1 22	1 25	0.8842841740359901
482	1 21	1 24	1 25	1 28	-0.002520400127214191
