a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
64,67,60,63,-70.736,28.472,0.0,-2.4844057319471764,,,,-9.773843811168247,24.282193587622828,-23451,-0.002480212553199168,-0.0061695051256451805,-2.487490484509999,,-2.467742646734577,-2.455651001441835,
64,67,65,68,2113.177,404.726,0.0,5.221253391183171,,,,5.026548245743669,26.24488207403495,23729,-0.0022840106247986073,-0.011911794887186744,5.215297493739578,,5.81236011638317,5.738343616410898,-0.75799
64,67,68,71,-1079.069,404.726,0.0,-2.6661716815821075,,,,-9.773843811168247,26.058745589543317,23730,-0.037429799480686206,-0.09796094221075835,-2.6171912104767285,,,,0.16946
64,67,71,2,-387.629,404.726,0.0,-0.9577566057036119,,,,-58.2384286234717,55.77823971992833,23731,0.01954596240946475,0.01890503314611114,-0.9672091222766674,,-0.9544818710832587,-0.9744526747679194,-0.70003
64,67,2,63,-1257.779,404.726,0.0,-3.107729673902838,,,,-8.38590388737663,26.061122353297513,0,,,-3.107729673902838,,-3.144793531781558,-3.144793531781558,-0.09878
64,67,63,66,2007.87,404.726,0.0,4.961060075211377,,,,5.026548245743669,24.937007818082705,-23658,-0.0007633083718586163,-0.003788264495704574,4.96295420745923,,5.931988585496867,5.931438383842496,
64,67,66,69,49.314,404.726,0.0,0.1218453966387136,,,,-31.41592653589794,-3.8278860295391723,23734,-0.026996392873812527,-0.0032455767648018746,0.12022260825631267,,-0.9395842658907788,-0.9500566755004755,
64,67,72,3,-287.418,404.726,0.0,-0.7101545242954492,,,,-82.92615091017275,58.89038125126636,23736,0.026593487100377886,0.019139984648552377,-0.7197245166197255,,-0.7049994404655326,-0.699811771499603,-0.41701
64,67,70,1,-51.732,39.314,0.0,-1.3158671211273338,,,,-37.53661567134012,49.393198400309494,23737,0.007538362718242239,0.009957013437508211,-1.3208456278460878,,-1.2582484321162093,-1.2593751908802246,-0.15401
65,68,4,7,-73.075,1831.027,0.0,-0.03990929680447093,,,,-79039.67863751794,3154.417994074704,23739,0.030641845460374833,0.0012419218944973512,-0.0405302577517196,,,,-0.05429
65,68,2,5,-57.064,1829.156,0.0,-0.031196901740474844,,,,-87084.94835750671,2716.780576983463,23748,-0.018082150949829453,-0.0005590526492420152,-0.030917375415853834,,-0.033732978054380254,-0.03405767495140222,0.43669
65,68,5,8,-75.015,1829.156,0.0,-0.041010717511245624,,,,-75209.7281269409,3084.4049143115576,23749,-0.017663142193084146,-0.0007180367423019682,-0.040651699140094644,,,,-0.59021
65,68,3,6,-64.059,1827.38,0.0,-0.03505510621764493,,,,-82997.38724933649,2909.4822258125,23758,0.011055335741610491,0.00038970010142377193,-0.03524995626835682,,,,0.23499
65,68,6,9,-72.932,1827.38,0.0,-0.039910691810132536,,,,-71505.44132250796,2853.831631370131,-36536,-0.016152249406540278,-0.0006498960899716036,-0.04023563985511834,,,,
